"id","raw_name","standard_name","category_group","is_verified","created_at"
1,"mdm","MDM","MDM",True,"2026-02-25 08:43:31.514819"
2,"mdma","MDM","MDM",True,"2026-02-25 08:43:31.514819"
3,"mdma (methylenedioxy-n-methamphetamine)","MDM","MDM",True,"2026-02-25 08:43:31.514819"
4,"m.d.m.a","MDM","MDM",True,"2026-02-25 08:43:31.514819"
5,"mdma cristal","MDM","MDM",True,"2026-02-25 08:43:31.514819"
6,"mdma crystal powder","MDM","MDM",True,"2026-02-25 08:43:31.514819"
7,"mdma crystal","MDM","MDM",True,"2026-02-25 08:43:31.514819"
8,"crystal mdma","MDM","MDM",True,"2026-02-25 08:43:31.514819"
9,"methylene dioxy methamphetamine (mdma)","MDM","MDM",True,"2026-02-25 08:43:31.514819"
10,"methylenedioxymethamphetamine (mdma)","MDM","MDM",True,"2026-02-25 08:43:31.514819"
11,"methylenedioxy methamphetamine (mdma)-meth","MDM","MDM",True,"2026-02-25 08:43:31.514819"
12,"mbma","MDM","MDM",True,"2026-02-25 08:43:31.514819"
13,"mdma mandy","MDM","MDM",True,"2026-02-25 08:43:31.514819"
